ph,Hardness,Solids,Turbidity,Potability
,204.8904555,20791.31898,2.963135381,0
3.716080075,129.4229205,18630.05786,4.500656275,0
8.099124189,224.2362594,19909.54173,3.05593375,0
8.316765884,214.3733941,22018.41744,4.628770537,0
9.092223456,181.1015092,17978.98634,4.075075425,0
5.584086638,188.3133238,28748.68774,2.559708228,0
10.22386216,248.0717353,28749.71654,2.672988737,0
8.635848719,203.3615226,13672.09176,4.401424715,0
,118.9885791,14285.58385,3.595017181,0
11.18028447,227.2314692,25484.50849,4.370561937,0
7.360640106,165.5207973,32452.61441,3.662291783,0
7.974521649,218.6933005,18767.65668,4.011718108,0
7.119824384,156.7049933,18730.81365,3.445756223,0
,150.1749234,27331.36196,4.413974183,0
7.496232208,205.3449822,28388.00489,4.777382337,0
6.347271761,186.7328807,41065.23476,4.376348291,0
7.0517858,211.0494061,30980.60079,4.268428858,0
9.181560007,273.8138067,24041.32628,4.503660796,0
8.975464348,279.3571668,19460.39813,2.43608559,0
7.371050302,214.4966105,25630.32004,2.560299148,0
,227.4350484,22305.56741,4.133422644,0
6.660212026,168.2837469,30944.36359,3.749701241,0
,215.9778587,17107.22423,5.459250956,0
3.902475686,196.9032467,21167.5001,4.528522696,0
5.400301781,140.7390623,17266.59342,4.82478639,0
6.514415093,198.7673513,21218.70287,5.200885077,0
3.445061864,207.9262602,33424.76868,4.184396969,0
,145.7681806,13224.93564,4.004871128,0
,266.4210181,26362.96501,3.991564248,0
,148.1530614,15193.41347,6.038184953,0
7.181448581,209.6256005,15196.22999,5.088859989,0
9.825489908,190.7566183,19677.89247,2.857472426,0
10.43329098,117.7912296,22326.89205,5.057310517,0
7.414148196,235.0445345,32555.85254,3.160624468,0
,232.280452,14787.20626,5.029166724,0
5.115817064,191.952743,19620.54533,3.902088768,0
3.641629777,183.9087223,24752.07246,3.464353035,0
5.618064406,304.2359121,17281.97517,2.896546941,0
,143.4537313,19942.27322,2.907563915,0
9.267187531,198.6143947,24683.72357,4.324004646,0
,233.8589957,11703.92391,3.510004045,0
5.331940479,194.8740654,16658.8765,4.434820258,0
7.145771545,238.6899285,28780.34043,5.182590704,0
9.920691059,202.817483,9973.934059,4.69070723,0
4.758439425,183.3494541,21568.42878,4.542801462,0
5.702925977,216.8504739,35606.44018,4.137739016,0
6.953864226,209.638293,10575.18628,3.195710328,0
10.68296643,173.3754984,15758.74062,3.999775382,0
,129.8905723,34415.85315,4.405586,0
8.757257397,200.1914004,21536.22469,3.626135442,0
,168.3884308,27492.30731,3.048057223,0
7.809631898,100.4576151,12013.55063,2.447444464,0
6.652488091,145.0101719,19871.78845,3.742090426,0
9.147197055,211.7141418,11920.61084,3.794531591,0
10.56074464,181.8933656,21783.65103,3.96468635,0
7.484254838,260.0921726,30616.61515,4.781188177,0
8.520806573,238.3351125,28779.65001,3.94060453,0
4.999413811,190.2870501,24323.8659,4.460683932,0
,157.8011936,16963.62501,4.405385706,0
,155.0557268,20557.24043,4.08990769,0
3.906078355,233.402835,32144.79993,3.902879712,0
6.391353624,213.0178297,20965.47831,3.923749169,0
,229.4856937,35729.69271,3.855602212,0
8.692092013,195.1437388,24656.23968,4.477960248,0
8.085759801,127.7396738,32653.91036,4.068688909,0
6.203977702,212.3066183,21815.07415,5.215689206,0
5.058108869,238.5693804,34873.93452,5.106655774,0
,103.4647587,27420.16742,4.620793452,0
,211.200526,12830.48413,3.439740042,0
7.261550522,179.8897882,24964.7777,3.636364183,0
7.160467231,183.08931,6743.346066,3.884891044,0
5.704764776,116.2993299,33223.58153,4.157533407,0
6.217273135,130.9444639,19460.38282,5.325833446,0
8.67993497,242.2286673,22984.05095,3.873470298,0
,219.3009142,14859.46642,4.655916599,0
6.897322141,211.3601667,25650.77764,5.02278363,0
3.514545529,158.7320758,23029.66361,3.762615331,0
3.722500486,163.6397469,37962.16799,3.662837732,0
6.455004797,176.6839728,24468.04839,2.293431406,0
7.316804754,217.522862,31903.39981,3.50837265,0
1.844538366,233.7643427,28689.59578,5.013463351,0
5.519125656,168.728583,12531.60192,3.75899586,0
7.408985467,204.9617498,9566.12227,3.772420928,0
5.976769618,258.952732,27267.98186,2.994671096,0
6.395359132,133.8342291,23827.27502,4.191217515,0
6.20964226,195.4177209,13116.70771,3.612519615,0
6.762832522,232.0751766,27159.38435,4.916579161,0
9.918717064,199.1812511,21470.27831,3.385508444,0
10.15544017,300.2924758,12652.36298,5.00246726,0
8.721726711,206.3696824,28608.05208,2.555026904,0
,197.9797828,17153.30616,4.383921814,0
,199.1078856,29721.91163,3.355164642,0
6.099646705,237.9199268,20416.841,3.172789769,0
9.02678772,253.2170742,27965.07215,2.019042018,0
6.953371603,203.1465468,11609.10905,3.651865808,0
6.140877557,197.8760897,26687.87448,5.359460295,0
7.077874007,220.6705396,23873.37821,4.764508265,0
5.488314309,135.8023617,21485.1532,5.066786272,0
7.205559175,120.3276153,24627.86756,3.710053126,0
9.177869866,163.2748283,20868.33122,3.108769988,0
4.270716195,166.8377085,24405.25053,3.763905903,0
7.348844512,223.2649397,11519.04653,4.880875156,0
8.52616987,175.6128363,11837.12336,5.083014142,0
